0) Artist: Ed Sheeran  Song: Shape of You
1) Artist: Post Malone  Song: rockstar (feat. 21 Savage)
2) Artist: Drake  Song: One Dance
3) Artist: The Chainsmokers  Song: Closer
4) Artist: Ed Sheeran  Song: Thinking out Loud
5) Artist: Drake  Song: God's Plan
6) Artist: Tones And I  Song: Dance Monkey
7) Artist: Post Malone  Song: Sunflower - Spider-Man: Into the Spider-Verse
8) Artist: Camila Cabello  Song: Havana (feat. Young Thug)
9) Artist: Ed Sheeran  Song: Perfect
10) Artist: James Arthur  Song: Say You Won't Let Go
11) Artist: Justin Bieber  Song: Love Yourself
12) Artist: Shawn Mendes  Song: Señorita
13) Artist: Ed Sheeran  Song: Photograph
14) Artist: Major Lazer  Song: Lean On (feat. MØ & DJ Snake)
15) Artist: Luis Fonsi  Song: Despacito - Remix
16) Artist: The Weeknd  Song: Starboy
17) Artist: Imagine Dragons  Song: Believer
18) Artist: Dua Lipa  Song: New Rules
19) Artist: Billie Eilish  Song: bad guy
20) Artist: Justin Bieber  Song: Sorry
21) Artist: The Chainsmokers  Song: Don't Let Me Down (feat. Daya)
22) Artist: The Chainsmokers  Song: Something Just Like This
23) Artist: Imagine Dragons  Song: Thunder
24) Artist: XXXTENTACION  Song: SAD!
25) Artist: Mike Posner  Song: I Took A Pill In Ibiza - Seeb Remix
26) Artist: Kendrick Lamar  Song: HUMBLE.
27) Artist: Lil Uzi Vert  Song: XO Tour Llif3
28) Artist: DJ Snake  Song: Let Me Love You
29) Artist: Alan Walker  Song: Faded
30) Artist: Post Malone  Song: Better Now
31) Artist: Twenty One Pilots  Song: Stressed Out
32) Artist: Post Malone  Song: Congratulations
33) Artist: John Legend  Song: All of Me
34) Artist: Queen  Song: Bohemian Rhapsody - 2011 Mix
35) Artist: Juice WRLD  Song: Lucid Dreams
36) Artist: Marshmello  Song: Happier
37) Artist: French Montana  Song: Unforgettable
38) Artist: Shawn Mendes  Song: Treat You Better
39) Artist: Sia  Song: Cheap Thrills
40) Artist: Hozier  Song: Take Me to Church
41) Artist: Mark Ronson  Song: Uptown Funk (feat. Bruno Mars)
42) Artist: Sam Smith  Song: Stay With Me
43) Artist: Ariana Grande  Song: 7 rings
44) Artist: Luis Fonsi  Song: Despacito
45) Artist: Major Lazer  Song: Cold Water
46) Artist: Lewis Capaldi  Song: Someone You Loved
47) Artist: Passenger  Song: Let Her Go
48) Artist: Justin Bieber  Song: What Do You Mean?
49) Artist: Lukas Graham  Song: 7 Years
50) Artist: Lady Gaga  Song: Shallow
51) Artist: Maroon 5  Song: Girls Like You (feat. Cardi B)
52) Artist: Justin Timberlake  Song: CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS")
53) Artist: XXXTENTACION  Song: Jocelyn Flores
54) Artist: Ariana Grande  Song: thank u, next
55) Artist: Shawn Mendes  Song: Stitches
56) Artist: Sam Smith  Song: Too Good At Goodbyes
57) Artist: Bruno Mars  Song: That's What I Like
58) Artist: OMI  Song: Cheerleader - Felix Jaehn Remix Radio Edit
59) Artist: Cardi B  Song: I Like It
60) Artist: Post Malone  Song: Psycho (feat. Ty Dolla $ign)
61) Artist: Avicii  Song: Wake Me Up
62) Artist: Calvin Harris  Song: This Is What You Came For (feat. Rihanna)
63) Artist: Twenty One Pilots  Song: Heathens
64) Artist: Adele  Song: Hello
65) Artist: The Weeknd  Song: Can't Feel My Face
66) Artist: Fifth Harmony  Song: Work from Home (feat. Ty Dolla $ign)
67) Artist: Imagine Dragons  Song: Radioactive
68) Artist: Wiz Khalifa  Song: See You Again (feat. Charlie Puth)
69) Artist: Charlie Puth  Song: Attention
70) Artist: Post Malone  Song: I Fall Apart
71) Artist: OneRepublic  Song: Counting Stars
72) Artist: Drake  Song: In My Feelings
73) Artist: Macklemore & Ryan Lewis  Song: Can't Hold Us - feat. Ray Dalton
74) Artist: Calvin Harris  Song: One Kiss (with Dua Lipa)
75) Artist: Halsey  Song: Without Me
76) Artist: ZAYN  Song: I Don’t Wanna Live Forever (Fifty Shades Darker)
77) Artist: Clean Bandit  Song: Rockabye (feat. Sean Paul & Anne-Marie)
78) Artist: Travis Scott  Song: SICKO MODE
79) Artist: Sia  Song: Chandelier
80) Artist: Charlie Puth  Song: We Don't Talk Anymore (feat. Selena Gomez)
81) Artist: Maroon 5  Song: Sugar
82) Artist: DJ Snake  Song: Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)
83) Artist: The Weeknd  Song: The Hills
84) Artist: J Balvin  Song: Mi Gente
85) Artist: Ed Sheeran  Song: I Don't Care (with Justin Bieber)
86) Artist: DJ Khaled  Song: I'm the One
87) Artist: benny blanco  Song: Eastside (with Halsey & Khalid)
88) Artist: Dua Lipa  Song: IDGAF
89) Artist: Kygo  Song: It Ain’t Me (with Selena Gomez)
90) Artist: Imagine Dragons  Song: Demons
91) Artist: Twenty One Pilots  Song: Ride
92) Artist: Lauv  Song: I Like Me Better
93) Artist: Rihanna  Song: Work
94) Artist: Vance Joy  Song: Riptide
95) Artist: Shawn Mendes  Song: There's Nothing Holdin' Me Back
96) Artist: XXXTENTACION  Song: Moonlight
97) Artist: Lil Nas X  Song: Old Town Road - Remix
98) Artist: Danny Ocean  Song: Me Rehúso
99) Artist: Billie Eilish  Song: lovely (with Khalid)
